,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,label,x-tsne,y-tsne,x-bin,y-bin
101,0.4105056,-0.13029271,-1.7767365,0.4639874,-1.6414783,0.18806084,1.0358158,-0.42657417,-0.49632525,0.6887695,0.33580083,1.0,-19.148119,-2.405739,-19,-2
102,0.4833303,-0.15492775,-1.787903,0.49934593,-1.6113882,0.074001096,0.94678086,-0.1152648,0.37848708,0.34318298,0.2792471,1.0,-19.147392,-0.21352988,-19,0
103,0.5491512,-0.15209365,-1.7307334,0.50609577,-1.586094,-0.04962431,0.8555261,0.18556216,1.2939783,-0.030075744,0.21791576,1.0,-18.644554,3.062346,-18,3
104,0.607668,-0.122873954,-1.6030715,0.4824426,-1.5654846,-0.18015188,0.7588081,0.47237596,2.2254562,-0.42060903,0.1626723,0.0,-18.560307,4.440773,-18,4
105,0.66037095,-0.078626476,-1.456894,0.45222503,-1.5373844,-0.06969623,0.7075989,0.5204449,1.7808627,-0.19582447,0.40471923,1.0,-18.40091,3.9411285,-18,3
106,0.70687866,-0.015458298,-1.2893972,0.41448948,-1.4980601,-0.19239955,0.59847695,0.89265347,2.782217,-0.60854757,0.44395566,0.0,-18.436758,5.31317,-18,5
107,0.7465871,0.049830597,-1.1115161,0.36846757,-1.447519,-0.12028626,0.5348452,0.5685778,2.055065,-0.40499225,0.685439,0.0,-18.056303,4.6600676,-18,4
108,0.7798941,0.06327719,-0.99311185,0.33071336,-1.3775326,-0.16000451,0.43377116,-0.26011023,1.2240952,-0.40043038,0.93088824,1.0,-15.038124,3.6647656,-15,3
109,0.80604196,0.07306329,-0.860176,0.281078,-1.3018674,-0.23179325,0.35034493,0.4853594,2.4331815,-0.7032042,0.82808936,0.0,-17.806036,5.8133554,-17,5
110,0.8255631,0.099783726,-0.7007178,0.22165343,-1.2206403,-0.21990114,0.26476613,0.11776174,1.9212412,-0.6467791,1.0697569,1.0,-15.117561,4.856952,-15,4
111,0.83715266,0.14266475,-0.5103475,0.1479849,-1.1283711,-0.32257837,0.14518337,0.84404284,3.2407825,-1.0602862,1.1048106,0.0,-16.146227,9.227055,-16,9
112,0.84103084,0.20653541,-0.29010078,0.06317818,-1.0252162,-0.2790727,0.06902597,0.58503705,2.7063477,-0.92760897,1.3422056,0.0,-14.284897,8.371726,-14,8
113,0.8377749,0.23148385,-0.11269826,-0.016926745,-0.9030367,-0.31674975,-0.03829241,-0.021288872,2.1183577,-0.94179636,1.5811977,1.0,-13.001034,6.9451447,-13,6
114,0.825097,0.26907393,0.09784307,-0.11394122,-0.76878554,-0.41107264,-0.17446335,0.8651901,3.5719924,-1.3517183,1.6282845,0.0,-15.23619,9.797744,-15,9
115,0.8035126,0.3270875,0.34021243,-0.22302437,-0.62267697,-0.4235247,-0.2704115,0.013576822,2.566316,-1.2338868,1.6282845,1.0,-12.981528,7.4090157,-12,7
116,0.7705965,0.22210297,0.46526623,-0.3369038,-0.46129656,-0.6776297,-0.4583297,-2.1673915,1.0445544,-1.4886407,1.6282845,1.0,-8.184195,2.6787918,-8,2
117,0.7312479,0.010504427,0.50446093,-0.44384733,-0.3048388,-0.5762433,-0.43326023,-2.4349508,0.25006497,-1.0599267,1.6282845,1.0,-6.939681,2.897617,-6,2
118,0.69452965,-0.20339157,0.5005924,-0.5175833,-0.1697842,-0.44604406,-0.39190942,-2.261771,-0.124488935,-0.6526094,1.4899637,1.0,-6.2368417,3.1187696,-6,3
119,0.66149104,-0.38979858,0.47779647,-0.55948424,-0.05592583,-0.3006916,-0.33966047,-1.84817,-0.26969853,-0.25892925,1.225857,1.0,-5.507065,3.2164106,-5,3
120,0.63280696,-0.53268415,0.44897243,-0.57041466,0.036943015,-0.14819127,-0.28090912,-1.307269,-0.29609546,0.12634456,0.96428096,1.0,-3.720502,3.2697759,-3,3
121,0.60834455,-0.62621397,0.42058712,-0.5523835,0.11016786,-0.008527909,-0.23199864,-0.7576544,-0.26586667,0.46937084,0.7338198,1.0,-2.6289556,3.0502658,-2,3
122,0.5845077,-0.6881765,0.39561632,-0.51777375,0.17021789,0.016241012,-0.26501158,-0.61027116,-0.21107797,0.5433041,0.6341388,1.0,-2.3730881,2.9987218,-2,2
123,0.5575936,-0.7387265,0.3749992,-0.47870088,0.22391419,0.028360007,-0.31094187,-0.50602275,-0.15365936,0.5816259,0.5746452,1.0,-2.1694334,2.9679964,-2,2
124,0.52681077,-0.78089213,0.35859403,-0.43723968,0.27410862,0.0353433,-0.3642565,-0.4247819,-0.10148709,0.60336673,0.54639655,1.0,-1.9819764,2.9470954,-1,2
125,0.49166137,-0.81653225,0.34587067,-0.39444757,0.3231051,0.03951079,-0.4229191,-0.3612607,-0.05739934,0.6150925,0.5446092,1.0,-1.8067646,2.9325438,-1,2
126,0.45177945,-0.8470953,0.33618763,-0.35097265,0.3728604,0.04209942,-0.4856333,-0.31192458,-0.021763807,0.6205211,0.56537116,1.0,-1.6265574,2.9273415,-1,2
127,0.40688375,-0.8737437,0.3289246,-0.3072254,0.425041,0.04381094,-0.55148077,-0.27413493,0.006186856,0.6219484,0.6053198,1.0,-1.4293176,2.9270332,-1,2
128,0.35675845,-0.89742637,0.3235391,-0.26346248,0.48106083,0.04506184,-0.61975294,-0.24586454,0.027639596,0.6209192,0.66150016,1.0,-1.2092136,2.9365797,-1,2
129,0.3012379,-0.91892695,0.31958294,-0.21983276,0.54211086,0.046121433,-0.6898552,-0.2255188,0.04383714,0.61859584,0.731276,1.0,-0.9585986,2.9538143,0,2
130,0.24019955,-0.938899,0.3166991,-0.17640042,0.60918176,0.04718615,-0.7612507,-0.21181352,0.05591022,0.61595505,0.81227237,1.0,-0.65927243,2.9829736,0,2
131,0.17356144,-0.9578904,0.3146104,-0.13315561,0.68308383,0.048422534,-0.8334279,-0.20369193,0.064815335,0.6138826,0.9023378,1.0,-0.33156824,3.022088,0,3
132,0.101284705,-0.97636205,0.31310567,-0.09001992,0.76446277,0.049985733,-0.9058816,-0.20026341,0.07132627,0.61321,0.9995184,1.0,0.014378991,3.0699518,0,3
133,0.023365052,-0.99470013,0.31202632,-0.046850406,0.8538162,0.052033465,-0.9781012,-0.20075643,0.07605039,0.614719,1.1020391,1.0,0.33519205,3.1234522,0,3
134,-0.060158692,-1.0132254,0.3112546,-0.0034447594,0.951506,0.054730844,-1.0495645,-0.20447458,0.07945418,0.6191279,1.2082905,1.0,0.5840287,3.1719692,0,3
135,-0.14920628,-1.0321985,0.31070378,0.040452886,1.0577718,0.05825267,-1.119735,-0.21075986,0.08189013,0.627066,1.3168173,1.0,0.76561916,3.2118528,0,3
136,-0.24365515,-1.0518217,0.31031054,0.08514428,1.1727433,0.05950357,-1.1822988,-0.22241665,0.08367937,0.64048284,1.37131,1.0,0.882594,3.2392354,0,3
